#timestamp x y z qx qy qz qw
0.601000 -3.000005 1.000001 -0.001007 -0.000002 0.001590 0.000001 0.999999
11.014000 -2.827439 1.000012 -0.001008 -0.000002 0.001592 -0.000234 0.999999
13.414000 -2.563684 0.999913 -0.000954 -0.000755 0.001888 -0.000426 0.999998
14.620000 -2.430934 0.999810 -0.008990 -0.000954 0.001904 -0.000403 0.999998
16.820000 -2.189258 0.999634 -0.009140 -0.000954 0.001902 -0.000255 0.999998
27.220000 -1.050097 0.936810 -0.009732 -0.000725 0.001718 -0.168162 0.985758
28.220000 -0.947551 0.894881 -0.009715 -0.000653 0.001652 -0.217208 0.976124
29.821000 -0.793721 0.807242 -0.009644 -0.000536 0.001540 -0.294671 0.955597
31.020000 -0.688828 0.726289 -0.009555 -0.000445 0.001448 -0.350834 0.936437
32.020000 -0.608874 0.649393 -0.009459 -0.000376 0.001376 -0.392353 0.919814
34.425000 -0.416857 0.470720 -0.009239 -0.000503 0.001508 -0.315110 0.949054
36.027000 -0.268408 0.380955 -0.009160 -0.000677 0.001672 -0.201423 0.979503
37.430000 -0.122626 0.341161 -0.009175 -0.000872 0.001837 -0.063195 0.997999
46.834000 1.011806 0.542479 -0.010265 -0.001042 0.001964 0.069862 0.997554
48.234000 1.249914 0.559356 -0.010446 -0.000956 0.001902 0.000892 0.999997
49.235000 1.420625 0.552464 -0.010304 -0.001230 0.001850 -0.029968 0.999548
50.235000 1.590061 0.542252 -0.010560 -0.001230 0.001849 -0.030162 0.999543
51.434000 1.793327 0.529902 -0.010885 -0.001232 0.001848 -0.030864 0.999521
52.634000 1.996739 0.517262 0.002927 -0.002798 0.002766 -0.031266 0.999503
54.034000 2.234136 0.502316 -0.011210 -0.001220 0.001851 -0.031755 0.999493
55.034000 2.403686 0.491461 -0.000104 -0.002803 0.002766 -0.031873 0.999484
56.035000 2.573374 0.480665 -0.000472 -0.002802 0.002763 -0.031904 0.999483
57.235000 2.776977 0.467595 -0.017354 -0.001237 0.001847 -0.032077 0.999483
58.449000 2.982917 0.454260 -0.017443 -0.001237 0.001847 -0.032486 0.999470
59.449000 3.152284 0.443199 -0.017518 -0.001237 0.001850 -0.032836 0.999458
