#timestamp x y z qx qy qz qw id
0.601000 -3.000005 1.000001 -0.001007 -0.000002 0.001590 0.000001 0.999999 1
1.603000 -3.000005 1.000001 -0.001007 -0.000002 0.001590 0.000003 0.999999 2
5.205000 -3.000004 1.000003 -0.001007 -0.000002 0.001590 0.000010 0.999999 3
7.006000 -3.000004 1.000004 -0.001007 -0.000002 0.001590 0.000013 0.999999 4
8.606000 -3.000003 1.000005 -0.001007 -0.000002 0.001590 0.000016 0.999999 5
9.610000 -2.966977 1.000007 -0.001008 -0.000002 0.001592 0.000020 0.999999 6
11.014000 -2.827445 1.000014 -0.001008 -0.000002 0.001592 0.000042 0.999999 7
13.414000 -2.563689 1.000061 -0.001008 -0.000002 0.001591 0.000151 0.999999 8
14.620000 -2.430938 1.000112 -0.001008 -0.000002 0.001592 0.000233 0.999999 9
16.820000 -2.189259 1.000273 -0.001008 -0.000002 0.001590 0.000439 0.999999 10
27.220000 -1.049998 0.939158 -0.001008 0.000265 0.001570 -0.167424 0.985884 11
28.220000 -0.947385 0.897389 -0.001008 0.000343 0.001554 -0.216447 0.976293 12
29.821000 -0.793411 0.809998 -0.001008 0.000465 0.001523 -0.293902 0.955834 13
31.020000 -0.688383 0.729217 -0.001007 0.000555 0.001490 -0.350065 0.936724 14
32.020000 -0.608300 0.652454 -0.001007 0.000621 0.001464 -0.391591 0.920138 15
34.425000 -0.415984 0.474099 -0.001008 0.000498 0.001512 -0.314325 0.949314 16
36.027000 -0.267378 0.384579 -0.001008 0.000318 0.001559 -0.200818 0.979627 17
37.430000 -0.121542 0.344965 -0.001007 0.000098 0.001587 -0.062728 0.998029 18
46.834000 1.012706 0.547348 -0.001008 -0.000114 0.001586 0.070423 0.997516 19
48.234000 1.250821 0.564495 -0.001007 -0.000004 0.001590 0.001344 0.999998 20
49.235000 1.421588 0.557760 -0.001008 0.000045 0.001590 -0.029392 0.999567 21
50.235000 1.591095 0.547745 -0.001008 0.000044 0.001592 -0.029620 0.999560 22
51.434000 1.794450 0.535620 -0.001008 0.000045 0.001592 -0.029939 0.999550 23
52.634000 1.997965 0.523361 -0.001008 0.000045 0.001592 -0.030252 0.999541 24
54.034000 2.235391 0.508906 -0.001008 0.000047 0.001591 -0.030526 0.999533 25
55.034000 2.404973 0.498472 -0.001008 0.000046 0.001591 -0.030869 0.999522 26
56.035000 2.574684 0.487949 -0.001007 0.000048 0.001589 -0.031119 0.999514 27
57.235000 2.778316 0.475205 -0.001007 0.000049 0.001589 -0.031422 0.999505 28
58.449000 2.984288 0.462189 -0.001008 0.000049 0.001589 -0.031727 0.999495 29
59.449000 3.153661 0.451390 -0.001008 0.000049 0.001592 -0.031886 0.999490 30
60.848000 3.391077 0.436111 -0.001008 0.000050 0.001590 -0.032336 0.999476 31
61.848000 3.560417 0.425105 -0.001008 0.000049 0.001592 -0.032535 0.999469 32
62.849000 3.729766 0.416691 -0.001007 0.000006 0.001590 -0.004855 0.999987 33
64.058000 3.933684 0.426872 -0.001008 -0.000089 0.001588 0.054853 0.998493 34
